fips,Date,R0,Cases,Tier
1001,2020-11-20,1,87,1
1003,2020-11-20,0.9,64,2
1005,2020-11-20,0.9,27,3
1007,2020-11-20,0.9,72,4
1009,2020-11-20,0.9,98,3
1011,2020-11-20,0.9,60,1
1013,2020-11-20,0.9,60,2
1015,2020-11-20,0.9,86,4
1017,2020-11-20,0.9,86,3
1019,2020-11-20,0.9,75,3
1021,2020-11-20,0.9,94,3
1023,2020-11-20,0.9,94,1
1025,2020-11-20,0.9,47,3
1027,2020-11-20,0.9,59,2
1029,2020-11-20,0.9,50,2
1031,2020-11-20,0.9,29,2
1033,2020-11-20,0.9,48,2
1035,2020-11-20,0.9,77,4
1037,2020-11-20,0.9,52,2
1039,2020-11-20,0.9,56,1
1041,2020-11-20,0.9,38,1
1043,2020-11-20,0.9,74,3
1045,2020-11-20,0.9,5,3
1047,2020-11-20,0.9,82,4
1049,2020-11-20,0.9,73,4
1051,2020-11-20,0.9,97,4
1053,2020-11-20,0.9,2,3
1055,2020-11-20,0.9,51,2
1057,2020-11-20,0.9,4,2
1059,2020-11-20,0.9,23,2
1061,2020-11-20,0.9,59,1
1063,2020-11-20,0.9,56,1
1065,2020-11-20,0.9,80,2
1067,2020-11-20,0.9,54,2
1069,2020-11-20,0.9,97,1
1071,2020-11-20,0.9,11,2
1073,2020-11-20,0.9,10,3
1075,2020-11-20,0.9,21,2
1077,2020-11-20,0.9,18,3
1079,2020-11-20,0.9,63,4
1081,2020-11-20,0.9,67,1
1083,2020-11-20,0.9,19,1
1085,2020-11-20,0.9,66,1
1087,2020-11-20,0.9,20,3
1089,2020-11-20,0.9,69,2
1091,2020-11-20,0.9,79,1
1093,2020-11-20,0.9,31,1
1095,2020-11-20,0.9,15,4
1097,2020-11-20,0.9,94,1
1099,2020-11-20,0.9,53,4
1101,2020-11-20,0.9,25,4
1103,2020-11-20,0.9,82,4
1105,2020-11-20,0.9,10,1
1107,2020-11-20,0.9,7,4
1109,2020-11-20,0.9,66,3
1111,2020-11-20,0.9,42,4
1113,2020-11-20,0.9,31,4
1115,2020-11-20,0.9,27,4
1117,2020-11-20,0.9,96,3
1119,2020-11-20,0.9,48,4
1121,2020-11-20,0.9,78,1
1123,2020-11-20,0.9,5,3
1125,2020-11-20,0.9,98,1
1127,2020-11-20,0.9,30,2
1129,2020-11-20,0.9,85,2
1131,2020-11-20,0.9,64,1
1133,2020-11-20,0.9,17,3
2013,2020-11-20,0.9,27,3
2016,2020-11-20,0.9,65,4
2020,2020-11-20,0.9,52,4
